               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  92,            0.031092,            0.017766,            0.002298,             0.94013,             0.87861,             0.93585,             0.64892,            0.023243,           0.0077929,           0.0013043,            0.003994,            0.003994,            0.003994
                  93,            0.030771,            0.017424,           0.0023494,             0.91798,             0.89075,              0.9338,             0.65007,            0.023099,           0.0078185,           0.0013628,            0.003928,            0.003928,            0.003928
                  94,            0.030833,            0.017561,           0.0022903,             0.91379,               0.895,             0.93486,             0.64982,            0.023127,           0.0078186,           0.0013351,            0.003862,            0.003862,            0.003862
                  95,            0.030622,            0.017498,           0.0023962,             0.92112,             0.88932,             0.93592,             0.65222,            0.023065,           0.0077724,           0.0012062,            0.003796,            0.003796,            0.003796
                  96,            0.030735,            0.017428,           0.0023969,             0.92103,             0.89674,             0.93622,             0.65474,             0.02293,           0.0077228,            0.001235,             0.00373,             0.00373,             0.00373
                  97,            0.030722,            0.017516,            0.002257,             0.92288,             0.89565,             0.93728,             0.65656,            0.022758,           0.0076628,           0.0013141,            0.003664,            0.003664,            0.003664
                  98,            0.030526,            0.017138,           0.0022236,             0.93513,             0.89907,             0.94413,             0.65651,            0.022823,           0.0076719,           0.0012762,            0.003598,            0.003598,            0.003598
                  99,            0.030147,            0.017424,           0.0022488,             0.93097,             0.89211,             0.93956,             0.65731,            0.022908,           0.0077172,             0.00129,            0.003532,            0.003532,            0.003532
                 100,            0.030403,            0.017497,           0.0022282,             0.92593,             0.90181,             0.94275,             0.66144,            0.022849,           0.0077157,           0.0013493,            0.003466,            0.003466,            0.003466
                 101,            0.030434,            0.017292,           0.0022568,             0.93041,             0.90006,             0.93898,             0.66265,            0.022824,           0.0076826,           0.0013349,              0.0034,              0.0034,              0.0034
                 102,             0.03019,              0.0173,           0.0022145,             0.93251,             0.89511,             0.94255,             0.66175,             0.02279,            0.007679,           0.0012599,            0.003334,            0.003334,            0.003334
                 103,            0.029938,            0.017169,           0.0022358,             0.92638,              0.8913,             0.94169,             0.66341,            0.022702,           0.0076465,           0.0012236,            0.003268,            0.003268,            0.003268
                 104,            0.029973,            0.017108,           0.0022648,             0.92805,             0.89966,             0.94523,             0.66329,            0.022651,           0.0075845,           0.0012894,            0.003202,            0.003202,            0.003202
                 105,            0.029887,            0.017161,           0.0022121,             0.93231,             0.89132,             0.94168,             0.66028,            0.022614,           0.0075661,           0.0013108,            0.003136,            0.003136,            0.003136
                 106,             0.02964,            0.017169,           0.0021114,             0.93149,             0.90005,             0.94344,             0.66054,            0.022607,           0.0075452,           0.0012926,             0.00307,             0.00307,             0.00307
                 107,            0.029732,            0.017073,           0.0020847,             0.94334,             0.89219,              0.9482,             0.66295,            0.022602,           0.0075224,           0.0012502,            0.003004,            0.003004,            0.003004
                 108,            0.029657,            0.017047,            0.002136,             0.94807,              0.8879,             0.94517,             0.66149,            0.022577,           0.0075095,           0.0013134,            0.002938,            0.002938,            0.002938
                 109,             0.02952,            0.016864,           0.0022087,             0.93843,             0.89216,             0.94406,             0.66157,            0.022579,           0.0074999,           0.0013371,            0.002872,            0.002872,            0.002872
                 110,            0.029548,            0.016669,           0.0022332,             0.93044,             0.90119,             0.94775,             0.66197,            0.022629,            0.007497,           0.0013639,            0.002806,            0.002806,            0.002806
                 111,            0.029684,             0.01707,           0.0022835,             0.92772,             0.89983,              0.9448,             0.66228,            0.022584,           0.0075202,            0.001394,             0.00274,             0.00274,             0.00274
